Date,Timestamp,R,D,Margin,Daily Margin Change,Vote Difference,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Alpine,
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Alpine,
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Alpine,
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Alpine,32
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Alpine,32
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Alpine,32
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Alpine,32
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Alpine,32
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Alpine,32
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Alpine,32
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Alpine,32
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Alpine,32
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Alpine,48
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Alpine,48
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Alpine,48
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Alpine,48
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Alpine,48
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Alpine,48
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Alpine,48
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Alpine,48
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Alpine,48
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Alpine,48
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Alpine,48
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Alpine,48
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Alpine,48
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Alpine,48
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Alpine,48
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Alpine,0
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Alpine,0
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Alpine,0
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,El Dorado,
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,El Dorado,
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,El Dorado,
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,El Dorado,24960
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,El Dorado,1719
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,El Dorado,1719
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,El Dorado,1719
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,El Dorado,1719
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,El Dorado,1719
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,El Dorado,1719
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,El Dorado,1719
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,El Dorado,1719
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,El Dorado,1719
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,El Dorado,437
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,El Dorado,437
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,El Dorado,437
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,El Dorado,437
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,El Dorado,437
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,El Dorado,437
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,El Dorado,437
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,El Dorado,0
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,El Dorado,0
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,El Dorado,0
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,El Dorado,0
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,El Dorado,0
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,El Dorado,0
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,El Dorado,0
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,El Dorado,0
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,El Dorado,0
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,El Dorado,0
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Inyo,
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Inyo,
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Inyo,
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Inyo,3189
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Inyo,699
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Inyo,699
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Inyo,699
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Inyo,699
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Inyo,699
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Inyo,699
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Inyo,229
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Inyo,229
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Inyo,229
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Inyo,229
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Inyo,229
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Inyo,229
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Inyo,229
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Inyo,229
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Inyo,229
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Inyo,3
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Inyo,3
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Inyo,3
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Inyo,3
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Inyo,3
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Inyo,9
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Inyo,9
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Inyo,0
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Inyo,0
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Inyo,0
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Inyo,0
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Mono,
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Mono,
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Mono,
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Mono,300
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Mono,200
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Mono,200
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Mono,200
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Mono,200
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Mono,150
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Mono,150
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Mono,150
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Mono,150
2024-11-14,18:06:00,192267,149681,0.12453940365201727,0.00046301830328498994,42586,341948,250987,Mono,150
2024-11-15,19:06:00,217908,171203,0.12003001714163825,-0.004509386510379021,46705,389111,90073,Mono,100
2024-11-16,17:52:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Mono,50
2024-11-18,09:30:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Mono,50
2024-11-18,18:44:00,217908,171203,0.12003001714163825,0,46705,389111,92236,Mono,50
2024-11-19,18:03:00,223633,177538,0.11490112695085138,-0.0051288901907868695,46095,401171,84908,Mono,50
2024-11-20,17:52:00,223644,177563,0.11485592225459676,-4.520469625461654e-05,46081,401207,48954,Mono,50
2024-11-21,18:41:00,223838,177750,0.1147643853900017,-9.153686459506538e-05,46088,401588,48688,Mono,10
2024-11-22,20:02:00,229747,185273,0.10716110066984724,-0.007603284720154452,44474,415020,26007,Mono,10
2024-11-23,17:53:00,229747,185273,0.10716110066984724,0,44474,415020,23922,Mono,10
2024-11-25,18:56:00,229753,185279,0.1071580022745234,-3.098395323836156e-06,44474,415032,23919,Mono,10
2024-11-26,19:14:00,230085,185508,0.10726119063603093,0.00010318836150752242,44577,415593,23907,Mono,10
2024-11-27,21:08:00,233425,187513,0.10907069449657669,0.0018095038605457636,45912,420938,11014,Mono,10
2024-11-29,18:55:00,233425,187513,0.10907069449657669,0,45912,420938,11014,Mono,10
2024-12-02,18:08:00,233721,187726,0.10913590558243386,6.521108585716417e-05,45995,421447,2381,Mono,10
2024-12-03,23:53:00,234246,188067,0.10934780601118128,0.00021190042874742743,46179,422313,0,Mono,0
2024-12-04,20:15:00,234246,188067,0.10934780601118128,0,46179,422313,0,Mono,0
2024-12-05,10:16:00,234246,188067,0.10934780601118128,0,46179,422313,0,Mono,0
2024-11-05,23:46:00,113246,94852,0.08839104652615594,,18394,208098,,Nevada,
2024-11-06,08:10:00,148102,109302,0.1507358083013473,0.06234476177519137,38800,257404,,Nevada,
2024-11-06,17:25:00,148131,109327,0.15071972904318373,-1.6079258163576027e-05,38804,257458,,Nevada,
2024-11-07,17:37:00,148639,110087,0.1490070576594544,-0.001712671383729325,38552,258726,523355,Nevada,53290
2024-11-08,17:12:00,170208,130087,0.13360528813333555,-0.015401769526118853,40121,300295,391011,Nevada,46765
2024-11-09,17:44:00,170406,130143,0.1339648443348672,0.0003595562015316356,40263,300549,391011,Nevada,46765
2024-11-10,19:32:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Nevada,46765
2024-11-11,05:07:00,170406,130143,0.1339648443348672,0,40263,300549,391011,Nevada,46765
2024-11-12,08:08:00,170406,130143,0.1339648443348672,0,40263,300549,373345,Nevada,46765
2024-11-12,17:19:00,190629,148866,0.12301506649582468,-0.01094977783904251,41763,339495,337431,Nevada,30449
2024-11-13,10:32:00,190804,149113,0.12265052939394029,-0.0003645371018843879,41691,339917,250971,Nevada,30449
2024-11-14,03:14:00,191836,149486,0.12407638534873228,0.0014258559547919852,42350,341322,250971,Nevada,30449
