Date,Timestamp,R,D,Margin,Daily Margin Change,Vote Difference,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2024-11-14,16:48:00,112380,108744,0.0164432626,,3636,221124,141708,Orange,74708
2024-11-15,19:06:00,113257,109915,0.01497499686,-0.00146826574,3342,223172,118411,Orange,71911
2024-11-16,17:52:00,113444,110079,0.01505437919,7.9382328e-05,3365,223523,114253,Orange,67753
2024-11-18,09:30:00,113444,110079,0.01505437919,0,3365,223523,114253,Orange,67753
2024-11-18,18:44:00,113698,110258,0.01536016003,0.00030578084,3440,223956,98079,Orange,51579
2024-11-19,18:02:00,114182,110603,0.01592188091,0.000561720877,3579,224785,86155,Orange,39655
2024-11-20,17:52:00,114481,110826,0.01622231,0.0003004290953,3655,225307,78426,Orange,31926
2024-11-21,18:41:00,116044,112409,0.01591136908,-0.0003109409256,3635,228453,43926,Orange,31926
2024-11-22,20:02:00,116187,112518,0.01604250016,0.0001311310859,3669,228705,33907,Orange,21907
2024-11-23,17:53:00,116472,112727,0.01633951283,0.0002970126611,3745,229199,30127,Orange,18127
2024-11-25,17:56:00,116537,112763,0.01645878761,0.0001192747894,3774,229300,24676,Orange,12676
2024-11-26,19:14:00,116655,112845,0.01660130719,0.0001425195751,3810,229500,25133,Orange,13133
2024-11-27,21:09:00,117147,113272,0.01681718955,0.0002158823651,3875,230419,23565,Orange,11565
2024-11-29,18:55:00,117147,113272,0.01681718955,0,3875,230419,11565,Orange,11565
2024-12-02,18:09:00,117157,113280,0.01682455508,7.365529789e-06,3877,230437,11238,Orange,11238
2024-12-03,23:53:00,117208,113338,0.01678623789,-3.831719702e-05,3870,230546,0,Orange,0
2024-12-04,20:15:00,117208,113338,0.01678623789,0,3870,230546,0,Orange,0
2024-12-05,10:16:00,117208,113338,0.01678623789,0,3870,230546,0,Orange,0
2024-11-14,16:48:00,112380,108744,0.0164432626,,3636,221124,141708,San Diego,67000
2024-11-15,19:06:00,113257,109915,0.01497499686,-0.00146826574,3342,223172,118411,San Diego,46500
2024-11-16,17:52:00,113444,110079,0.01505437919,7.9382328e-05,3365,223523,114253,San Diego,46500
2024-11-18,09:30:00,113444,110079,0.01505437919,0,3365,223523,114253,San Diego,46500
2024-11-18,18:44:00,113698,110258,0.01536016003,0.00030578084,3440,223956,98079,San Diego,46500
2024-11-19,18:02:00,114182,110603,0.01592188091,0.000561720877,3579,224785,86155,San Diego,46500
2024-11-20,17:52:00,114481,110826,0.01622231,0.0003004290953,3655,225307,78426,San Diego,46500
2024-11-21,18:41:00,116044,112409,0.01591136908,-0.0003109409256,3635,228453,43926,San Diego,12000
2024-11-22,20:02:00,116187,112518,0.01604250016,0.0001311310859,3669,228705,33907,San Diego,12000
2024-11-23,17:53:00,116472,112727,0.01633951283,0.0002970126611,3745,229199,30127,San Diego,12000
2024-11-25,17:56:00,116537,112763,0.01645878761,0.0001192747894,3774,229300,24676,San Diego,12000
2024-11-26,19:14:00,116655,112845,0.01660130719,0.0001425195751,3810,229500,25133,San Diego,12000
2024-11-27,21:09:00,117147,113272,0.01681718955,0.0002158823651,3875,230419,23565,San Diego,12000
2024-11-29,18:55:00,117147,113272,0.01681718955,0,3875,230419,11565,San Diego,0
2024-12-02,18:09:00,117157,113280,0.01682455508,7.365529789e-06,3877,230437,11238,San Diego,0
2024-12-03,23:53:00,117208,113338,0.01678623789,-3.831719702e-05,3870,230546,0,San Diego,0
2024-12-04,20:15:00,117208,113338,0.01678623789,0,3870,230546,0,San Diego,0
2024-12-05,10:16:00,117208,113338,0.01678623789,0,3870,230546,0,San Diego,0
